seq,frame,track_id,lost_duration,gpr_sigma_px,cost,track_recent_speed,implied_speed,motion_ratio,nearest_active_iou,nearest_active_dist,n_neighbors,track_last_cx,track_last_cy,track_last_w,track_last_h,pred_cx,pred_cy,pred_w,pred_h,det_cx,det_cy,det_w,det_h,det_score
dancetrack0004,21,2,1,10.6633992350522,0.20888428321437524,28.66247281934131,34.216782443843165,1.1937833368220006,0.23997851956022087,200.96621843214442,3,1047.7211857108584,653.5621654174631,485.3535910877685,489.51041094670114,1049.1043208050394,648.8684060828955,474.2506321599167,420.5134912563203,1015.2000427246094,664.1999969482422,434.70001220703125,460.3500061035156,0.5458402633666992
dancetrack0004,54,2,1,6.325214701587838,0.37662404058231114,12.729993046141782,41.74367232576734,3.2791590831559057,0.5233837222701787,20.720380383106423,2,1038.4206767473613,553.9438703606819,181.0519986646252,470.2217108211915,1035.9457461092359,563.4162295129777,188.26493036410193,455.60644162394055,999.0,567.6750183105469,168.75,433.35003662109375,0.35372090339660645
dancetrack0004,100,1,1,7.628374874336224,0.3699949399263208,8.480610155781264,19.681256986058923,2.320735964103023,0.22108182850150804,113.90925519799414,2,718.7852828114053,707.5934046007567,167.71971813623838,109.1392082390494,723.5173766118814,704.8690973130167,155.34350887341225,120.82812593933545,701.15625,716.3437805175781,205.5374755859375,103.61248779296875,0.570465087890625
dancetrack0004,115,2,1,13.129305576896327,0.41538949154446037,11.586622581465056,15.128720018342243,1.3057057750844,0.2655167237094746,112.28525456611192,2,714.6794232549273,736.2221026196843,340.38673818952395,137.63342612181887,724.670277805121,738.9289972654777,332.4116849282907,133.89140335342563,721.5750122070312,722.7562561035156,232.199951171875,154.23748779296875,0.6711502075195312
dancetrack0004,131,1,1,7.911102637563871,0.28866198621367445,12.14928084081688,9.8703562335364,0.8124230860131099,0.3654982580795491,63.09879785796367,1,583.8888573045435,686.3037789000939,154.62445409826893,106.68343921224336,588.7829735822233,683.8926098543019,168.021613939487,117.0407055856142,589.2750091552734,694.5750122070312,155.25003051757812,90.449951171875,0.6990804672241211
dancetrack0004,133,2,1,8.410068205432278,0.26852296412196575,17.038977024771825,5.360072473834003,0.3145771290166865,0.23497605451342515,120.94880968928467,2,647.3233430041386,724.63317378733,280.27084620332414,79.83232385896196,645.0419043789095,724.4062362925206,266.3894648301189,95.2053084896877,652.5562591552734,725.7937622070312,293.2875061035156,75.262451171875,0.6015472412109375
dancetrack0004,136,2,1,8.812511415084897,0.36182857284533454,8.171371022389536,4.295105723578968,0.5256285281638037,0.29867164892535725,148.469254788373,2,635.8523743919612,706.4373967337015,284.71790037548163,108.68288117079464,618.569554003059,725.5023545594898,288.4338052254027,95.80942092824898,631.6312713623047,707.2312622070312,264.9375305175781,106.987548828125,0.6757943630218506
dancetrack0004,138,2,1,9.042650748770665,0.42829631047633643,9.22886775127088,15.634706284081929,1.694108823038332,0.3445989652966175,138.38146760394875,2,637.6418106392407,704.6952579840889,279.68114600055816,113.50163456942114,614.0860048587556,715.676732963859,279.03303526952504,110.01370092182833,652.0500030517578,698.625,294.3000183105469,121.5,0.6632161140441895
dancetrack0004,141,5,1,10.134270450288904,0.2928160122250837,16.304068534932483,13.361343968691989,0.8195098014992072,0.6059149427853121,70.66365101687852,4,749.3710641348601,714.6692480931287,250.66594389947772,141.7300923617061,749.7990962220654,710.267357827811,288.5531950212578,136.17407997888063,740.4750061035156,704.7000122070312,248.39996337890625,112.050048828125,0.46401286125183105
dancetrack0004,143,1,1,7.377258516606987,0.21521350770450065,7.3870592189099495,5.661496489229566,0.7664073512145186,0.4113474060916775,73.63882232417485,1,624.8371203116607,695.5313563200409,213.37205391139133,78.48330887066442,614.4226146002903,704.381858829912,193.52660187447168,81.25216191175991,619.3125,696.7687377929688,204.5250244140625,79.3125,0.6955633163452148
